no.,description,date,time,location,category,size,shape,colour,size,remarks,,,,,,,,,,,,,,,
84,Postal Museum Stamp 11,21 Feb 2026,2:54 PM,Postal Museum Beimen,museums,small,square,red,4.2 x 4.4,,,,,,,,,,,,,,,,
85,Postal Museum Stamp 12,21 Feb 2026,2:57 PM,Postal Museum Beimen,museums,small,square,red,3.4 x 3.4,,,,,,,,,,,,,,,,
86,Postal Museum Stamp 13,21 Feb 2026,2:57 PM,Postal Museum Beimen,museums,small,odd,red,3.6 x 3.8,,,,,,,,,,,,,,,,
87,Postal Museum Stamp 14,21 Feb 2026,2:57 PM,Postal Museum Beimen,museums,large,rectangle,blue,9.0 x 6.0,,,,,,,,,,,,,,,,
88,Taipei Metro Stamp,21 Feb 2026,3:21 PM,Beimen Station,metro,large,oval,green,7.5 x 5.0,,,,,,,,,,,,,,,,
89,Dadaocheng Stamp 1,21 Feb 2026,3:45 PM,Dadaocheng Tourist Centre,tourist centres,mini,rectangle,blue,5.0 x 2.0,,,,,,,,,,,,,,,,
90,Dadaocheng Stamp 2,21 Feb 2026,3:45 PM,Dadaocheng Tourist Centre,tourist centres,mini,rectangle,blue,5.0 x 2.0,,,,,,,,,,,,,,,,
91,Dadaocheng Stamp 3,21 Feb 2026,3:45 PM,Dadaocheng Tourist Centre,tourist centres,mini,circle,blue,3.0 x 3.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,legend,count,percentage,category,,,,,,,,,,,,,,,,,,,,,
,category,13,14.29%,metro,,,,,,,,,,,,,,,,,,,,,
,,25,27.47%,nat. parks,,,,,,,,,,,,,,,,,,,,,
,,32,35.16%,retail shops,,,,,,,,,,,,,,,,,,,,,
,,2,2.20%,f&b,,,,,,,,,,,,,,,,,,,,,
,,16,17.58%,museums,,,,,,,,,,,,,,,,,,,,,
,,3,3.30%,tourist centres,,,,,,,,,,,,,,,,,,,,,
,size,31,34.07%,mini,,,,,,,,,,,,,,,,,,,,,
,,36,39.56%,small,,,,,,,,,,,,,,,,,,,,,
,,8,8.79%,medium,,,,,,,,,,,,,,,,,,,,,
,,16,17.58%,large,,,,,,,,,,,,,,,,,,,,,
,shape,26,28.57%,circle,,,,,,,,,,,,,,,,,,,,,
,,7,7.69%,oval,,,,,,,,,,,,,,,,,,,,,
,,7,7.69%,rectangle,,,,,,,,,,,,,,,,,,,,,
,,7,7.69%,square,,,,,,,,,,,,,,,,,,,,,
,,44,48.35%,odd,,,,,,,,,,,,,,,,,,,,,
,colour,30,32.97%,blue,,,,,,,,,,,,,,,,,,,,,
,,2,2.20%,green,,,,,,,,,,,,,,,,,,,,,
,,4,4.40%,red,,,,,,,,,,,,,,,,,,,,,
,,53,58.24%,black,,,,,,,,,,,,,,,,,,,,,
,,1,1.10%,orange,,,,,,,,,,,,,,,,,,,,,
,,1,1.10%,multi,,,,,,,,,,,,,,,,,,,,,
,day,6,6.59%,17 Feb 2026,,,,,,,,,,,,,,,,,,,,,
,,11,12.09%,18 Feb 2026,,,,,,,,,,,,,,,,,,,,,
,,35,38.46%,19 Feb 2026,,,,,,,,,,,,,,,,,,,,,
,,19,20.88%,20 Feb 2026,,,,,,,,,,,,,,,,,,,,,
,,20,21.98%,21 Feb 2026,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
